// ***** BenchmarkRunner: Start   *****
// Found benchmarks:
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]

// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** Building 4 benchmark(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.28 sec)   *****
// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JPVHNJ(InvocationCount=500, UnrollFactor=1)

IdleTarget 18: 500 op, 1900.00 ns, 3.8000 ns/op
IdleTarget 19: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget 20: 500 op, 1700.00 ns, 3.4000 ns/op

MainWarmup  1: 500 op, 223294500.00 ns, 446.5890 us/op
MainWarmup  2: 500 op, 220284600.00 ns, 440.5692 us/op
MainWarmup  3: 500 op, 217014200.00 ns, 434.0284 us/op
MainWarmup  4: 500 op, 261523200.00 ns, 523.0464 us/op
MainWarmup  5: 500 op, 223874900.00 ns, 447.7498 us/op
MainWarmup  6: 500 op, 217288100.00 ns, 434.5762 us/op
MainWarmup  7: 500 op, 218420800.00 ns, 436.8416 us/op
MainWarmup  8: 500 op, 215985800.00 ns, 431.9716 us/op

// BeforeMainRun
MainTarget  1: 500 op, 215346000.00 ns, 430.6920 us/op
MainTarget  2: 500 op, 218101700.00 ns, 436.2034 us/op
MainTarget  3: 500 op, 213431300.00 ns, 426.8626 us/op
MainTarget  4: 500 op, 211236600.00 ns, 422.4732 us/op
MainTarget  5: 500 op, 212101500.00 ns, 424.2030 us/op
MainTarget  6: 500 op, 211626400.00 ns, 423.2528 us/op
MainTarget  7: 500 op, 209399700.00 ns, 418.7994 us/op
MainTarget  8: 500 op, 215744800.00 ns, 431.4896 us/op
MainTarget  9: 500 op, 212890200.00 ns, 425.7804 us/op
MainTarget 10: 500 op, 209559700.00 ns, 419.1194 us/op
MainTarget 11: 500 op, 209522000.00 ns, 419.0440 us/op
MainTarget 12: 500 op, 210760800.00 ns, 421.5216 us/op
MainTarget 13: 500 op, 217416500.00 ns, 434.8330 us/op
MainTarget 14: 500 op, 211983500.00 ns, 423.9670 us/op
MainTarget 15: 500 op, 209471600.00 ns, 418.9432 us/op

// AfterMainRun
Result  1: 500 op, 215343960.00 ns, 430.6879 us/op
Result  2: 500 op, 218099660.00 ns, 436.1993 us/op
Result  3: 500 op, 213429260.00 ns, 426.8585 us/op
Result  4: 500 op, 211234560.00 ns, 422.4691 us/op
Result  5: 500 op, 212099460.00 ns, 424.1989 us/op
Result  6: 500 op, 211624360.00 ns, 423.2487 us/op
Result  7: 500 op, 209397660.00 ns, 418.7953 us/op
Result  8: 500 op, 215742760.00 ns, 431.4855 us/op
Result  9: 500 op, 212888160.00 ns, 425.7763 us/op
Result 10: 500 op, 209557660.00 ns, 419.1153 us/op
Result 11: 500 op, 209519960.00 ns, 419.0399 us/op
Result 12: 500 op, 210758760.00 ns, 421.5175 us/op
Result 13: 500 op, 217414460.00 ns, 434.8289 us/op
Result 14: 500 op, 211981460.00 ns, 423.9629 us/op
Result 15: 500 op, 209469560.00 ns, 418.9391 us/op
GC:  14 0 0 44800000 500

// AfterAll

Mean = 425.1416 us, StdErr = 1.4943 us (0.35%); N = 15, StdDev = 5.7873 us
Min = 418.7953 us, Q1 = 419.1153 us, Median = 423.9629 us, Q3 = 430.6879 us, Max = 436.1993 us
IQR = 11.5726 us, LowerFence = 401.7564 us, UpperFence = 448.0468 us
ConfidenceInterval = [418.9546 us; 431.3286 us] (CI 99.9%), Margin = 6.1870 us (1.46% of Mean)
Skewness = 0.58, Kurtosis = 1.92, MValue = 2

// **************************
// Benchmark: ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-OJMJLM(InvocationCount=500, UnrollFactor=1)

IdleWarmup  1: 500 op, 183600.00 ns, 367.2000 ns/op
IdleWarmup  2: 500 op, 2600.00 ns, 5.2000 ns/op
IdleWarmup  3: 500 op, 1400.00 ns, 2.8000 ns/op
IdleWarmup  4: 500 op, 1400.00 ns, 2.8000 ns/op
IdleWarmup  5: 500 op, 1500.00 ns, 3.0000 ns/op
IdleWarmup  6: 500 op, 1500.00 ns, 3.0000 ns/op
IdleWarmup  7: 500 op, 1500.00 ns, 3.0000 ns/op

IdleTarget  1: 500 op, 2100.00 ns, 4.2000 ns/op
IdleTarget  2: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget  3: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  4: 500 op, 1600.00 ns, 3.2000 ns/op
